,media0,media1,media2,media3,media4,media5,media6,media7,media8,media9,media10,media11,media12,media13,media14,media15,std0,std1,std2,std3,std4,std5,std6,std7,std8,std9,std10,std11,std12,std13,std14,std15,750,751,752,753,754,755,756,757,758,759,7510,7511,7512,7513,7514,7515,max0,max1,max2,max3,max4,max5,max6,max7,max8,max9,max10,max11,max12,max13,max14,max15,media-pos0,media-pos1,media-pos2,media-pos3,media-pos4,media-pos5,media-pos6,media-pos7,std-pos0,std-pos1,std-pos2,std-pos3,std-pos4,std-pos5,std-pos6,std-pos7,75-pos0,75-pos1,75-pos2,75-pos3,75-pos4,75-pos5,75-pos6,75-pos7,max-pos0,max-pos1,max-pos2,max-pos3,max-pos4,max-pos5,max-pos6,max-pos7,Target,Position_right,Position_top
Cheez-100_432-right-0,1128.455,1.7475,2.9825,2.9975,14.6025,10.03,10.51,14.1175,652.245,1.36,6.37,1.8,1.4925,0.675,5.15,2.58,2314.48694152316,13.400098894259646,20.857006750165215,23.337396576040174,39.57860100982265,30.031881138413272,30.9255699574476,36.89704831264237,1237.8937423172351,10.410395806698766,26.49212489975561,11.12607179934632,14.378867247049422,8.235833131409393,26.1405014209051,16.151494573022013,143.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7730.0,114.0,236.0,263.0,342.0,179.0,168.0,232.0,4057.0,118.0,158.0,96.0,144.0,116.0,292.0,116.0,-14.7775,2.9575,-14.625,4.035,-15.4725,6.7975,1.0275,0.0775,12.278227923946597,3.94837535193902,13.083858122067664,5.632324804800146,10.707514694237826,8.53748883096467,0.6226660682753236,0.558815207461487,0.0,7.0,2.0,10.0,-2.0,18.0,1.0,0.0,2.0,10.0,3.0,15.0,-1.0,19.0,5.0,5.0,Cheez,1,0
Cheez-100_432-right-1,1512.38,3.3025,4.2075,2.34,320.06,15.16,12.7325,18.1275,1043.415,2.905,2.3975,1.71,1.72,1.2925,6.7375,1.72,2686.373312578939,17.599014376309395,26.975054730143484,19.351630784900042,703.9902108285013,35.19732275077267,33.460947854600946,45.18357147879015,2004.8098411127626,16.605430612138186,14.820885275545384,10.0682333757353,14.540294026461178,11.349403780173335,34.69673258218568,12.547317959226481,1371.0,0.0,0.0,0.0,148.75,0.0,0.0,0.0,409.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8888.0,132.0,255.0,200.0,3088.0,179.0,179.0,309.0,5746.0,118.0,140.0,96.0,144.0,116.0,306.0,122.0,-14.08,2.765,-14.94,5.6325,-15.885,7.6525,0.985,0.105,12.48271386211383,3.7736422644243417,11.988775034049253,7.658922344474909,10.187061182639818,9.587049731611447,0.5617507541378439,0.6671489483602903,2.0,7.0,0.0,15.0,-3.0,20.0,1.0,0.0,3.0,11.0,3.0,18.0,-2.0,21.0,5.0,5.0,Cheez,1,0
Cheez-100_432-right-2,1413.975,1.245,3.485,2.8375,214.37,18.4,16.0475,21.59,893.8025,2.5775,1.6975,2.4625,2.3075,1.31,5.7625,2.565,2904.624708308326,10.493820833672629,25.096301238222132,19.86006417720759,589.4139973317787,41.80795094123569,38.560244746855,52.98703581926683,1702.741343746323,15.223777529103522,12.207520330991828,14.024632599425582,16.691748858339313,11.384547413028676,31.64180943008847,16.09046402629367,405.0,0.0,0.0,0.0,94.0,10.0,0.0,0.0,501.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10546.0,114.0,255.0,200.0,2851.0,265.0,243.0,298.0,4936.0,133.0,140.0,133.0,151.0,116.0,320.0,122.0,-14.83,2.695,-15.1025,4.78,-15.7525,8.2925,1.03,0.0325,11.829452221029715,3.584563815077222,12.06320006214554,6.419081829110936,10.363384732208404,10.36849593817978,0.6894115030599502,0.3630057616035776,0.0,7.0,0.0,12.0,-3.0,21.0,1.0,0.0,1.0,11.0,3.0,15.0,-1.0,22.0,5.0,5.0,Cheez,1,0
Cheez-100_432-right-3,1687.16,3.1125,5.63,3.7275,193.3075,16.565,14.015,17.525,687.8825,2.4275,3.9675,1.95,2.3525,1.4475,8.26,3.0025,2974.1232779731067,17.509033651189725,35.06218035473639,24.284410126415903,530.3735080949768,38.096313440336466,39.03150549303267,44.715691963441806,1331.7855196576083,14.88164649007768,20.568522163977306,10.618822839478986,17.855399238182496,12.040959493071377,35.25478193270811,16.55529184188326,1908.0,0.0,0.0,0.0,117.5,0.0,0.0,0.0,253.5,0.0,0.0,0.0,0.0,0.0,3.25,0.0,9002.0,150.0,310.0,200.0,2557.0,222.0,375.0,254.0,3857.0,118.0,140.0,108.0,151.0,116.0,320.0,122.0,-14.8475,4.325,-14.5975,4.9025,-15.73,7.1725,1.0,0.0975,11.73514071363959,5.656355797000033,12.375920258939953,6.526828669514992,10.3776847539386,8.990819252274358,0.5574737144977239,0.6849574196011486,0.0,11.25,1.0,12.0,-3.0,19.0,1.0,0.0,3.0,14.0,2.0,16.0,-1.0,21.0,5.0,5.0,Cheez,1,0
Cheez-100_432-right-4,2152.6275,3.455,3.04,2.84,16.79,11.8475,17.035,16.765,856.7725,3.085,3.1375,1.835,1.8825,1.8625,7.275,14.2275,3428.3061256210963,17.88120013577789,25.648157242281872,20.60742742709309,35.81602811136636,31.422167737336125,42.66749421581538,37.36469021934991,1630.501463753401,16.851341021876888,17.083712325400484,13.388461534307705,12.898240394067722,13.717653911002893,39.80125279825726,26.50579439653683,3278.5,0.0,0.0,0.0,10.0,0.0,0.0,10.0,339.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,10038.0,123.0,255.0,200.0,189.0,189.0,364.0,189.0,5622.0,118.0,176.0,182.0,151.0,116.0,320.0,162.0,-14.91,4.6825,-14.8775,5.0075,-15.7925,7.43,1.02,0.0925,11.751900608829201,6.066605558919968,12.463781865709533,6.872811112016203,10.336903437766216,9.3183786385362,0.5748269871560543,0.6441903468754537,0.0,12.0,1.0,13.0,-3.0,19.0,1.0,0.0,3.0,15.0,7.0,17.0,-2.0,21.0,5.0,5.0,Cheez,1,0
Cheez-100_432-right-5,1073.525,2.92,1.585,2.03,270.245,16.3375,13.205,17.6025,895.61,2.9025,1.4325,1.92,2.77,2.89,6.8925,1.5925,2113.6922782166093,18.96940155852903,16.894120375389324,16.44659009687218,534.6687166521126,39.514771119057066,35.558881593075576,43.03585372121454,1737.7949537137201,15.159403435865384,10.69867270947011,11.489282354549196,19.49634243700733,17.308867445057697,38.199790624549216,12.386889493667091,657.0,0.0,0.0,0.0,289.75,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7525.0,269.0,236.0,200.0,2494.0,211.0,211.0,200.0,5189.0,118.0,140.0,96.0,151.0,116.0,306.0,116.0,-14.995,5.03,-15.05,5.985,-15.6025,6.665,0.97,0.1125,11.84337954714547,6.5819758443067515,11.97501576225542,8.172008891533839,10.526229025331647,8.340364452348252,0.4844447510211877,0.8612189007374756,0.0,13.0,0.0,15.0,-2.0,17.0,1.0,0.0,3.0,17.0,1.0,20.0,-1.0,18.0,5.0,12.0,Cheez,1,0
Cheez-100_432-right-6,1113.2525,1.79,5.72,5.0925,356.4625,14.1675,14.3,17.7825,1635.565,1.8325,1.915,2.3175,1.44,2.78,10.24,2.1425,2197.416026091343,13.165836400331793,35.216787976595455,26.58563396994632,695.8184546981294,42.346931414810186,36.05057711432207,42.60184840436711,3174.303536704207,12.177033469210595,13.5551514313125,14.966351356704424,14.35432047471175,16.64193453185084,50.845457529443465,13.68614152801337,572.0,0.0,0.0,0.0,431.0,0.0,0.0,0.0,1332.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7799.0,177.0,460.0,200.0,2986.0,364.0,189.0,287.0,10404.0,118.0,122.0,207.0,151.0,116.0,320.0,111.0,-14.635,4.1725,-14.785,5.4525,-16.1475,7.555,0.965,0.075,12.094522258926903,5.428297133948708,12.714476780406635,7.788413974011414,9.958849857096519,9.465249726285757,0.4943540885967099,0.6085234193354411,0.0,10.25,1.0,14.0,-4.0,20.0,1.0,0.0,4.0,15.0,3.0,19.0,-2.0,21.0,5.0,5.0,Cheez,1,0
Cheez-100_432-right-7,1329.57,1.725,7.0175,3.025,16.41,12.905,15.695,20.7025,903.155,1.9825,3.3975,1.62,1.0625,2.695,6.155,2.5325,2337.82033846431,12.96029699681369,34.46202652093785,19.688409246219464,39.730254628331835,41.93192926314413,36.46417509231366,47.526686804853306,1639.382801819719,13.673500110182307,18.464474967883504,10.242943655846322,12.241250519686062,16.680604948671117,23.706876956646926,15.171168532337656,1525.75,0.0,0.0,0.0,10.0,0.0,10.0,0.0,573.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,7290.0,114.0,292.0,200.0,276.0,375.0,243.0,200.0,4779.0,118.0,140.0,96.0,144.0,116.0,306.0,111.0,-14.975,3.42,-15.15,4.9475,-15.505,7.595,0.97,0.065,11.795856500332679,4.465809965349677,12.118773108451837,6.7623269971245845,10.655459729882068,9.506677510741223,0.4237320759400358,0.5399108809780551,0.0,9.0,0.0,13.0,-2.0,20.0,1.0,0.0,3.0,14.0,2.0,16.0,-1.0,21.0,5.0,5.0,Cheez,1,0
Cheez-100_432-right-8,1751.775,2.4875,3.3125,5.6725,340.37,15.9375,14.1675,23.9275,1319.8625,1.7975,3.8325,1.74,0.71,2.4275,11.58,1.125,3592.5407369634604,14.991220279338728,26.137478133092618,34.377678888552225,671.0364168820909,45.83689721846955,33.18248237536619,46.810632681904714,2407.242199303803,12.254465453821117,19.986322233995438,11.135636758400414,7.788295311533049,15.429839390253706,52.169077350274854,10.164776520133664,648.75,0.0,0.0,0.0,478.75,0.0,0.0,31.0,1177.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12145.0,123.0,255.0,423.0,3088.0,386.0,179.0,298.0,7887.0,103.0,158.0,96.0,137.0,111.0,306.0,111.0,-14.58,3.1375,-14.72,5.2075,-15.845,7.5825,0.9575,0.07,12.371184888233119,4.092121380590235,12.482031195157775,7.2478114404757825,10.274721395219146,9.477222066367236,0.31772018394842605,0.5057067810213056,0.0,8.0,1.0,13.0,-3.0,20.0,1.0,0.0,2.0,11.0,4.0,18.0,-1.0,21.0,5.0,5.0,Cheez,1,0
Cheez-100_432-right-9,2012.335,2.03,6.8925,3.2275,18.9775,17.695,13.835,17.7975,935.94,2.72,3.14,2.4,2.2475,2.0,8.58,1.205,3578.957129963993,13.510567663739758,37.06231214054259,24.059674011379098,44.56070167855525,45.17936378791422,34.85455314140033,45.20459193023357,1747.6725966733256,16.288489408721972,17.186734990949322,12.856641594238662,17.018086906432416,13.908941247145354,33.012241976284365,10.657717502161944,2542.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,548.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,10984.0,114.0,236.0,200.0,342.0,364.0,265.0,431.0,5189.0,118.0,140.0,108.0,151.0,111.0,292.0,111.0,-14.9325,4.1425,-15.075,5.7175,-15.8025,7.61,0.985,0.1125,11.763668794588341,5.381411778690557,12.123399566235795,7.634356702148464,10.282646829223268,9.541251947297326,0.4902814904211909,0.7007648882267357,0.0,11.0,0.0,15.0,-3.0,20.0,1.0,0.0,1.0,13.0,3.0,18.0,-1.0,21.0,5.0,5.0,Cheez,1,0
