,1_0_tact,1_1_tact,1_2_tact,1_3_tact,1_4_tact,1_5_tact,1_6_tact,1_7_tact,1_8_tact,1_9_tact,1_10_tact,1_11_tact,1_12_tact,1_13_tact,1_14_tact,1_15_tact,2_0_tact,2_1_tact,2_2_tact,2_3_tact,2_4_tact,2_5_tact,2_6_tact,2_7_tact,2_8_tact,2_9_tact,2_10_tact,2_11_tact,2_12_tact,2_13_tact,2_14_tact,2_15_tact,3_0_tact,3_1_tact,3_2_tact,3_3_tact,3_4_tact,3_5_tact,3_6_tact,3_7_tact,3_8_tact,3_9_tact,3_10_tact,3_11_tact,3_12_tact,3_13_tact,3_14_tact,3_15_tact,1_0_pos,1_1_pos,1_2_pos,1_3_pos,1_4_pos,1_5_pos,1_6_pos,1_7_pos,2_0_pos,2_1_pos,2_2_pos,2_3_pos,2_4_pos,2_5_pos,2_6_pos,2_7_pos,3_0_pos,3_1_pos,3_2_pos,3_3_pos,3_4_pos,3_5_pos,3_6_pos,3_7_pos,Target,Position_right,Position_top
Cheez-100_432-right-0,0.0,0.0,0.0,0.0,254.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,0.0,140.0,0.0,0.0,0.0,13.0,0.0,4688.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2845.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,-25.0,0.0,-21.0,-1.0,-24.0,0.0,5.0,0.0,1.0,7.0,2.0,9.0,-1.0,17.0,1.0,0.0,0.0,8.0,2.0,11.0,-2.0,18.0,1.0,0.0,Cheez,1,0
Cheez-100_432-right-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,726.0,0.0,0.0,0.0,1198.0,0.0,0.0,0.0,430.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6549.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4913.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,-24.0,0.0,-25.0,0.0,-24.0,0.0,1.0,0.0,2.0,7.0,0.0,14.0,-3.0,20.0,1.0,0.0,2.0,8.0,0.0,16.0,-3.0,20.0,1.0,0.0,Cheez,1,0
Cheez-100_432-right-2,175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.0,0.0,0.0,0.0,331.0,0.0,0.0,0.0,430.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6121.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,4367.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,-24.0,0.0,-25.0,0.0,-24.0,0.0,1.0,0.0,0.0,7.0,-1.0,11.0,-2.0,21.0,0.0,0.0,0.0,8.0,0.0,13.0,-3.0,21.0,1.0,0.0,Cheez,1,0
Cheez-100_432-right-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1908.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,7627.0,0.0,0.0,0.0,375.0,0.0,0.0,0.0,3454.0,0.0,0.0,0.0,0.0,0.0,13.0,5.0,-24.0,0.0,-24.0,0.0,-24.0,0.0,0.0,0.0,0.0,11.0,1.0,11.0,-2.0,18.0,1.0,0.0,0.0,13.0,2.0,14.0,-2.0,19.0,1.0,0.0,Cheez,1,0
Cheez-100_432-right-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2168.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,8964.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3473.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,-24.0,0.0,-23.0,0.0,-24.0,0.0,1.0,0.0,0.0,12.0,1.0,12.0,-2.0,19.0,1.0,0.0,0.0,13.0,0.0,14.0,-3.0,20.0,1.0,0.0,Cheez,1,0
Cheez-100_432-right-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,522.0,0.0,0.0,0.0,660.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5283.0,0.0,0.0,0.0,20.0,0.0,41.0,0.0,4735.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,-24.0,0.0,-24.0,0.0,-24.0,0.0,0.0,0.0,0.0,13.0,0.0,14.0,-2.0,18.0,1.0,0.0,0.0,14.0,0.0,17.0,-2.0,18.0,1.0,0.0,Cheez,1,0
Cheez-100_432-right-6,0.0,0.0,0.0,15.0,62.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.0,0.0,0.0,0.0,947.0,0.0,0.0,0.0,707.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5972.0,0.0,0.0,0.0,487.0,0.0,0.0,0.0,8178.0,0.0,0.0,0.0,151.0,0.0,0.0,0.0,-25.0,0.0,-24.0,0.0,-24.0,0.0,1.0,0.0,0.0,10.0,1.0,14.0,-3.0,19.0,1.0,0.0,1.0,11.0,1.0,16.0,-4.0,20.0,1.0,0.0,Cheez,1,0
Cheez-100_432-right-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,709.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,585.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0,6272.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4304.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.0,-1.0,-25.0,0.0,-25.0,0.0,1.0,0.0,0.0,5.0,0.0,12.0,-2.0,19.0,1.0,0.0,0.0,10.0,0.0,14.0,-2.0,20.0,1.0,0.0,Cheez,1,0
Cheez-100_432-right-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,371.0,0.0,0.0,0.0,754.0,0.0,0.0,0.0,744.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,9510.0,0.0,0.0,0.0,431.0,0.0,0.0,0.0,6051.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.0,0.0,-23.0,0.0,-24.0,0.0,1.0,0.0,0.0,7.0,1.0,12.0,-2.0,20.0,1.0,0.0,2.0,9.0,1.0,15.0,-3.0,20.0,1.0,0.0,Cheez,1,0
Cheez-100_432-right-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0,13.0,0.0,1502.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,9002.0,0.0,236.0,0.0,0.0,0.0,0.0,0.0,4410.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,-24.0,0.0,-23.0,0.0,-25.0,0.0,1.0,0.0,0.0,10.0,0.0,14.0,-2.0,20.0,1.0,0.0,0.0,11.0,1.0,16.0,-3.0,20.0,1.0,0.0,Cheez,1,0
