,0-media,0-std,0-min,0-25,0-mediana,0-75,0-max,1-media,1-std,1-min,1-25,1-mediana,1-75,1-max,2-media,2-std,2-min,2-25,2-mediana,2-75,2-max,3-media,3-std,3-min,3-25,3-mediana,3-75,3-max,4-media,4-std,4-min,4-25,4-mediana,4-75,4-max,5-media,5-std,5-min,5-25,5-mediana,5-75,5-max,6-media,6-std,6-min,6-25,6-mediana,6-75,6-max,7-media,7-std,7-min,7-25,7-mediana,7-75,7-max,8-media,8-std,8-min,8-25,8-mediana,8-75,8-max,9-media,9-std,9-min,9-25,9-mediana,9-75,9-max,10-media,10-std,10-min,10-25,10-mediana,10-75,10-max,11-media,11-std,11-min,11-25,11-mediana,11-75,11-max,12-media,12-std,12-min,12-25,12-mediana,12-75,12-max,13-media,13-std,13-min,13-25,13-mediana,13-75,13-max,14-media,14-std,14-min,14-25,14-mediana,14-75,14-max,15-media,15-std,15-min,15-25,15-mediana,15-75,15-max,Target,Position_right,Position_top
Cheez-100_432-right-0,1128.455,2314.48694152316,0.0,0.0,0.0,143.0,7730.0,1.7475,13.400098894259646,0.0,0.0,0.0,0.0,114.0,2.9825,20.857006750165215,0.0,0.0,0.0,0.0,236.0,2.9975,23.337396576040174,0.0,0.0,0.0,0.0,263.0,14.6025,39.57860100982265,0.0,0.0,0.0,0.0,342.0,10.03,30.031881138413272,0.0,0.0,0.0,0.0,179.0,10.51,30.9255699574476,0.0,0.0,0.0,0.0,168.0,14.1175,36.89704831264237,0.0,0.0,0.0,0.0,232.0,652.245,1237.8937423172351,0.0,0.0,0.0,95.5,4057.0,1.36,10.410395806698766,0.0,0.0,0.0,0.0,118.0,6.37,26.49212489975561,0.0,0.0,0.0,0.0,158.0,1.8,11.12607179934632,0.0,0.0,0.0,0.0,96.0,1.4925,14.378867247049422,0.0,0.0,0.0,0.0,144.0,0.675,8.235833131409393,0.0,0.0,0.0,0.0,116.0,5.15,26.1405014209051,0.0,0.0,0.0,0.0,292.0,2.58,16.151494573022013,0.0,0.0,0.0,0.0,116.0,Cheez,1,0
Cheez-100_432-right-1,1512.38,2686.373312578939,0.0,0.0,0.0,1371.0,8888.0,3.3025,17.599014376309395,0.0,0.0,0.0,0.0,132.0,4.2075,26.975054730143484,0.0,0.0,0.0,0.0,255.0,2.34,19.351630784900042,0.0,0.0,0.0,0.0,200.0,320.06,703.9902108285013,0.0,0.0,10.0,148.75,3088.0,15.16,35.19732275077267,0.0,0.0,0.0,0.0,179.0,12.7325,33.460947854600946,0.0,0.0,0.0,0.0,179.0,18.1275,45.18357147879015,0.0,0.0,0.0,0.0,309.0,1043.415,2004.8098411127626,0.0,0.0,0.0,409.0,5746.0,2.905,16.605430612138186,0.0,0.0,0.0,0.0,118.0,2.3975,14.820885275545384,0.0,0.0,0.0,0.0,140.0,1.71,10.0682333757353,0.0,0.0,0.0,0.0,96.0,1.72,14.540294026461178,0.0,0.0,0.0,0.0,144.0,1.2925,11.349403780173335,0.0,0.0,0.0,0.0,116.0,6.7375,34.69673258218568,0.0,0.0,0.0,0.0,306.0,1.72,12.547317959226481,0.0,0.0,0.0,0.0,122.0,Cheez,1,0
Cheez-100_432-right-2,1413.975,2904.624708308326,0.0,0.0,0.0,405.0,10546.0,1.245,10.493820833672629,0.0,0.0,0.0,0.0,114.0,3.485,25.096301238222132,0.0,0.0,0.0,0.0,255.0,2.8375,19.86006417720759,0.0,0.0,0.0,0.0,200.0,214.37,589.4139973317787,0.0,0.0,0.0,94.0,2851.0,18.4,41.80795094123569,0.0,0.0,0.0,10.0,265.0,16.0475,38.560244746855,0.0,0.0,0.0,0.0,243.0,21.59,52.98703581926683,0.0,0.0,0.0,0.0,298.0,893.8025,1702.741343746323,0.0,0.0,0.0,501.0,4936.0,2.5775,15.223777529103522,0.0,0.0,0.0,0.0,133.0,1.6975,12.207520330991828,0.0,0.0,0.0,0.0,140.0,2.4625,14.024632599425582,0.0,0.0,0.0,0.0,133.0,2.3075,16.691748858339313,0.0,0.0,0.0,0.0,151.0,1.31,11.384547413028676,0.0,0.0,0.0,0.0,116.0,5.7625,31.64180943008847,0.0,0.0,0.0,0.0,320.0,2.565,16.09046402629367,0.0,0.0,0.0,0.0,122.0,Cheez,1,0
Cheez-100_432-right-3,1687.16,2974.1232779731067,0.0,0.0,0.0,1908.0,9002.0,3.1125,17.509033651189725,0.0,0.0,0.0,0.0,150.0,5.63,35.06218035473639,0.0,0.0,0.0,0.0,310.0,3.7275,24.284410126415903,0.0,0.0,0.0,0.0,200.0,193.3075,530.3735080949768,0.0,0.0,0.0,117.5,2557.0,16.565,38.096313440336466,0.0,0.0,0.0,0.0,222.0,14.015,39.03150549303267,0.0,0.0,0.0,0.0,375.0,17.525,44.715691963441806,0.0,0.0,0.0,0.0,254.0,687.8825,1331.7855196576083,0.0,0.0,0.0,253.5,3857.0,2.4275,14.88164649007768,0.0,0.0,0.0,0.0,118.0,3.9675,20.568522163977306,0.0,0.0,0.0,0.0,140.0,1.95,10.618822839478986,0.0,0.0,0.0,0.0,108.0,2.3525,17.855399238182496,0.0,0.0,0.0,0.0,151.0,1.4475,12.040959493071377,0.0,0.0,0.0,0.0,116.0,8.26,35.25478193270811,0.0,0.0,0.0,3.25,320.0,3.0025,16.55529184188326,0.0,0.0,0.0,0.0,122.0,Cheez,1,0
Cheez-100_432-right-4,2152.6275,3428.3061256210963,0.0,0.0,0.0,3278.5,10038.0,3.455,17.88120013577789,0.0,0.0,0.0,0.0,123.0,3.04,25.648157242281872,0.0,0.0,0.0,0.0,255.0,2.84,20.60742742709309,0.0,0.0,0.0,0.0,200.0,16.79,35.81602811136636,0.0,0.0,0.0,10.0,189.0,11.8475,31.422167737336125,0.0,0.0,0.0,0.0,189.0,17.035,42.66749421581538,0.0,0.0,0.0,0.0,364.0,16.765,37.36469021934991,0.0,0.0,0.0,10.0,189.0,856.7725,1630.501463753401,0.0,0.0,0.0,339.0,5622.0,3.085,16.851341021876888,0.0,0.0,0.0,0.0,118.0,3.1375,17.083712325400484,0.0,0.0,0.0,0.0,176.0,1.835,13.388461534307705,0.0,0.0,0.0,0.0,182.0,1.8825,12.898240394067722,0.0,0.0,0.0,0.0,151.0,1.8625,13.717653911002893,0.0,0.0,0.0,0.0,116.0,7.275,39.80125279825726,0.0,0.0,0.0,0.0,320.0,14.2275,26.50579439653683,0.0,0.0,0.0,16.0,162.0,Cheez,1,0
Cheez-100_432-right-5,1073.525,2113.6922782166093,0.0,0.0,0.0,657.0,7525.0,2.92,18.96940155852903,0.0,0.0,0.0,0.0,269.0,1.585,16.894120375389324,0.0,0.0,0.0,0.0,236.0,2.03,16.44659009687218,0.0,0.0,0.0,0.0,200.0,270.245,534.6687166521126,0.0,0.0,10.0,289.75,2494.0,16.3375,39.514771119057066,0.0,0.0,0.0,0.0,211.0,13.205,35.558881593075576,0.0,0.0,0.0,0.0,211.0,17.6025,43.03585372121454,0.0,0.0,0.0,0.0,200.0,895.61,1737.7949537137201,0.0,0.0,0.0,65.0,5189.0,2.9025,15.159403435865384,0.0,0.0,0.0,0.0,118.0,1.4325,10.69867270947011,0.0,0.0,0.0,0.0,140.0,1.92,11.489282354549196,0.0,0.0,0.0,0.0,96.0,2.77,19.49634243700733,0.0,0.0,0.0,0.0,151.0,2.89,17.308867445057697,0.0,0.0,0.0,0.0,116.0,6.8925,38.199790624549216,0.0,0.0,0.0,0.0,306.0,1.5925,12.386889493667091,0.0,0.0,0.0,0.0,116.0,Cheez,1,0
Cheez-100_432-right-6,1113.2525,2197.416026091343,0.0,0.0,0.0,572.0,7799.0,1.79,13.165836400331793,0.0,0.0,0.0,0.0,177.0,5.72,35.216787976595455,0.0,0.0,0.0,0.0,460.0,5.0925,26.58563396994632,0.0,0.0,0.0,0.0,200.0,356.4625,695.8184546981294,0.0,0.0,20.0,431.0,2986.0,14.1675,42.346931414810186,0.0,0.0,0.0,0.0,364.0,14.3,36.05057711432207,0.0,0.0,0.0,0.0,189.0,17.7825,42.60184840436711,0.0,0.0,0.0,0.0,287.0,1635.565,3174.303536704207,0.0,0.0,0.0,1332.5,10404.0,1.8325,12.177033469210595,0.0,0.0,0.0,0.0,118.0,1.915,13.5551514313125,0.0,0.0,0.0,0.0,122.0,2.3175,14.966351356704424,0.0,0.0,0.0,0.0,207.0,1.44,14.35432047471175,0.0,0.0,0.0,0.0,151.0,2.78,16.64193453185084,0.0,0.0,0.0,0.0,116.0,10.24,50.845457529443465,0.0,0.0,0.0,0.0,320.0,2.1425,13.68614152801337,0.0,0.0,0.0,0.0,111.0,Cheez,1,0
Cheez-100_432-right-7,1329.57,2337.82033846431,0.0,0.0,0.0,1525.75,7290.0,1.725,12.96029699681369,0.0,0.0,0.0,0.0,114.0,7.0175,34.46202652093785,0.0,0.0,0.0,0.0,292.0,3.025,19.688409246219464,0.0,0.0,0.0,0.0,200.0,16.41,39.730254628331835,0.0,0.0,0.0,10.0,276.0,12.905,41.93192926314413,0.0,0.0,0.0,0.0,375.0,15.695,36.46417509231366,0.0,0.0,0.0,10.0,243.0,20.7025,47.526686804853306,0.0,0.0,0.0,0.0,200.0,903.155,1639.382801819719,0.0,0.0,0.0,573.0,4779.0,1.9825,13.673500110182307,0.0,0.0,0.0,0.0,118.0,3.3975,18.464474967883504,0.0,0.0,0.0,0.0,140.0,1.62,10.242943655846322,0.0,0.0,0.0,0.0,96.0,1.0625,12.241250519686062,0.0,0.0,0.0,0.0,144.0,2.695,16.680604948671117,0.0,0.0,0.0,0.0,116.0,6.155,23.706876956646926,0.0,0.0,0.0,13.0,306.0,2.5325,15.171168532337656,0.0,0.0,0.0,0.0,111.0,Cheez,1,0
Cheez-100_432-right-8,1751.775,3592.5407369634604,0.0,0.0,0.0,648.75,12145.0,2.4875,14.991220279338728,0.0,0.0,0.0,0.0,123.0,3.3125,26.137478133092618,0.0,0.0,0.0,0.0,255.0,5.6725,34.377678888552225,0.0,0.0,0.0,0.0,423.0,340.37,671.0364168820909,0.0,0.0,20.0,478.75,3088.0,15.9375,45.83689721846955,0.0,0.0,0.0,0.0,386.0,14.1675,33.18248237536619,0.0,0.0,0.0,0.0,179.0,23.9275,46.810632681904714,0.0,0.0,0.0,31.0,298.0,1319.8625,2407.242199303803,0.0,0.0,0.0,1177.5,7887.0,1.7975,12.254465453821117,0.0,0.0,0.0,0.0,103.0,3.8325,19.986322233995438,0.0,0.0,0.0,0.0,158.0,1.74,11.135636758400414,0.0,0.0,0.0,0.0,96.0,0.71,7.788295311533049,0.0,0.0,0.0,0.0,137.0,2.4275,15.429839390253706,0.0,0.0,0.0,0.0,111.0,11.58,52.169077350274854,0.0,0.0,0.0,0.0,306.0,1.125,10.164776520133664,0.0,0.0,0.0,0.0,111.0,Cheez,1,0
Cheez-100_432-right-9,2012.335,3578.957129963993,0.0,0.0,0.0,2542.0,10984.0,2.03,13.510567663739758,0.0,0.0,0.0,0.0,114.0,6.8925,37.06231214054259,0.0,0.0,0.0,0.0,236.0,3.2275,24.059674011379098,0.0,0.0,0.0,0.0,200.0,18.9775,44.56070167855525,0.0,0.0,0.0,10.0,342.0,17.695,45.17936378791422,0.0,0.0,0.0,10.0,364.0,13.835,34.85455314140033,0.0,0.0,0.0,0.0,265.0,17.7975,45.20459193023357,0.0,0.0,0.0,0.0,431.0,935.94,1747.6725966733256,0.0,0.0,0.0,548.0,5189.0,2.72,16.288489408721972,0.0,0.0,0.0,0.0,118.0,3.14,17.186734990949322,0.0,0.0,0.0,0.0,140.0,2.4,12.856641594238662,0.0,0.0,0.0,0.0,108.0,2.2475,17.018086906432416,0.0,0.0,0.0,0.0,151.0,2.0,13.908941247145354,0.0,0.0,0.0,0.0,111.0,8.58,33.012241976284365,0.0,0.0,0.0,13.0,292.0,1.205,10.657717502161944,0.0,0.0,0.0,0.0,111.0,Cheez,1,0
