,1_0,1_1,1_2,1_3,1_4,1_5,1_6,1_7,2_0,2_1,2_2,2_3,2_4,2_5,2_6,2_7,3_0,3_1,3_2,3_3,3_4,3_5,3_6,3_7,Target
Cheez-100_432-right-0,-25.0,0.0,-21.0,-1.0,-24.0,0.0,5.0,0.0,1.0,7.0,2.0,9.0,-1.0,17.0,1.0,0.0,0.0,8.0,2.0,11.0,-2.0,18.0,1.0,0.0,Cheez
Cheez-100_432-right-1,-24.0,0.0,-25.0,0.0,-24.0,0.0,1.0,0.0,2.0,7.0,0.0,14.0,-3.0,20.0,1.0,0.0,2.0,8.0,0.0,16.0,-3.0,20.0,1.0,0.0,Cheez
Cheez-100_432-right-2,-24.0,0.0,-25.0,0.0,-24.0,0.0,1.0,0.0,0.0,7.0,-1.0,11.0,-2.0,21.0,0.0,0.0,0.0,8.0,0.0,13.0,-3.0,21.0,1.0,0.0,Cheez
Cheez-100_432-right-3,-24.0,0.0,-24.0,0.0,-24.0,0.0,0.0,0.0,0.0,11.0,1.0,11.0,-2.0,18.0,1.0,0.0,0.0,13.0,2.0,14.0,-2.0,19.0,1.0,0.0,Cheez
Cheez-100_432-right-4,-24.0,0.0,-23.0,0.0,-24.0,0.0,1.0,0.0,0.0,12.0,1.0,12.0,-2.0,19.0,1.0,0.0,0.0,13.0,0.0,14.0,-3.0,20.0,1.0,0.0,Cheez
Cheez-100_432-right-5,-24.0,0.0,-24.0,0.0,-24.0,0.0,0.0,0.0,0.0,13.0,0.0,14.0,-2.0,18.0,1.0,0.0,0.0,14.0,0.0,17.0,-2.0,18.0,1.0,0.0,Cheez
Cheez-100_432-right-6,-25.0,0.0,-24.0,0.0,-24.0,0.0,1.0,0.0,0.0,10.0,1.0,14.0,-3.0,19.0,1.0,0.0,1.0,11.0,1.0,16.0,-4.0,20.0,1.0,0.0,Cheez
Cheez-100_432-right-7,-24.0,-1.0,-25.0,0.0,-25.0,0.0,1.0,0.0,0.0,5.0,0.0,12.0,-2.0,19.0,1.0,0.0,0.0,10.0,0.0,14.0,-2.0,20.0,1.0,0.0,Cheez
Cheez-100_432-right-8,-24.0,0.0,-23.0,0.0,-24.0,0.0,1.0,0.0,0.0,7.0,1.0,12.0,-2.0,20.0,1.0,0.0,2.0,9.0,1.0,15.0,-3.0,20.0,1.0,0.0,Cheez
Cheez-100_432-right-9,-24.0,0.0,-23.0,0.0,-25.0,0.0,1.0,0.0,0.0,10.0,0.0,14.0,-2.0,20.0,1.0,0.0,0.0,11.0,1.0,16.0,-3.0,20.0,1.0,0.0,Cheez
Cheez-100_432-top-0,-20.0,0.0,-20.0,2.0,-24.0,0.0,0.0,0.0,-2.0,15.0,0.0,19.0,-3.0,16.0,1.0,0.0,-2.0,18.0,0.0,19.0,-3.0,17.0,1.0,0.0,Cheez
Cheez-100_432-top-1,-19.0,0.0,-20.0,0.0,-24.0,0.0,1.0,0.0,0.0,7.0,0.0,15.0,-1.0,14.0,1.0,0.0,4.0,30.0,3.0,47.0,4.0,68.0,1.0,0.0,Cheez
Cheez-100_432-top-2,-23.0,0.0,-23.0,0.0,-24.0,0.0,1.0,0.0,-1.0,15.0,0.0,24.0,-3.0,16.0,1.0,0.0,-1.0,16.0,0.0,25.0,-4.0,16.0,1.0,0.0,Cheez
Cheez-100_432-top-3,-18.0,0.0,-20.0,0.0,-24.0,0.0,1.0,0.0,-1.0,5.0,0.0,10.0,-1.0,20.0,1.0,0.0,-1.0,6.0,0.0,12.0,-1.0,20.0,1.0,0.0,Cheez
Cheez-100_432-top-4,-18.0,0.0,-17.0,0.0,-22.0,0.0,1.0,0.0,0.0,6.0,0.0,12.0,-1.0,17.0,1.0,0.0,4.0,20.0,4.0,35.0,3.0,53.0,1.0,0.0,Cheez
Cheez-100_432-top-5,-20.0,0.0,-20.0,0.0,-24.0,0.0,1.0,0.0,-2.0,12.0,0.0,22.0,-2.0,16.0,0.0,0.0,-1.0,13.0,0.0,24.0,-3.0,14.0,1.0,0.0,Cheez
Cheez-100_432-top-6,-19.0,0.0,-19.0,0.0,-24.0,0.0,1.0,0.0,-4.0,12.0,0.0,19.0,-2.0,17.0,1.0,0.0,-4.0,15.0,0.0,20.0,-3.0,17.0,1.0,4.0,Cheez
Cheez-100_432-top-7,-17.0,0.0,-19.0,0.0,-23.0,0.0,1.0,0.0,0.0,7.0,0.0,7.0,-1.0,20.0,1.0,0.0,0.0,4.0,0.0,8.0,-2.0,19.0,1.0,0.0,Cheez
Cheez-100_432-top-8,-21.0,0.0,-22.0,0.0,-24.0,0.0,1.0,0.0,0.0,6.0,0.0,9.0,-1.0,18.0,1.0,0.0,0.0,7.0,0.0,11.0,-2.0,18.0,1.0,0.0,Cheez
Cheez-100_432-top-9,-19.0,0.0,-20.0,0.0,-24.0,0.0,1.0,0.0,0.0,7.0,0.0,16.0,-2.0,15.0,0.0,0.0,-1.0,9.0,1.0,18.0,-1.0,17.0,1.0,0.0,Cheez
Cheez-100_50-right-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cheez
Cheez-100_50-right-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cheez
Cheez-100_50-right-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cheez
Cheez-100_50-right-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cheez
Cheez-100_50-right-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cheez
