,0,1,2,3,4,5,6,7,Target,Position_right,Position_top
Cheez-100_432-right-0,-14.7775,2.9575,-14.625,4.035,-15.4725,6.7975,1.0275,0.0775,Cheez,1,0
Cheez-100_432-right-1,-14.08,2.765,-14.94,5.6325,-15.885,7.6525,0.985,0.105,Cheez,1,0
Cheez-100_432-right-2,-14.83,2.695,-15.1025,4.78,-15.7525,8.2925,1.03,0.0325,Cheez,1,0
Cheez-100_432-right-3,-14.8475,4.325,-14.5975,4.9025,-15.73,7.1725,1.0,0.0975,Cheez,1,0
Cheez-100_432-right-4,-14.91,4.6825,-14.8775,5.0075,-15.7925,7.43,1.02,0.0925,Cheez,1,0
Cheez-100_432-right-5,-14.995,5.03,-15.05,5.985,-15.6025,6.665,0.97,0.1125,Cheez,1,0
Cheez-100_432-right-6,-14.635,4.1725,-14.785,5.4525,-16.1475,7.555,0.965,0.075,Cheez,1,0
Cheez-100_432-right-7,-14.975,3.42,-15.15,4.9475,-15.505,7.595,0.97,0.065,Cheez,1,0
Cheez-100_432-right-8,-14.58,3.1375,-14.72,5.2075,-15.845,7.5825,0.9575,0.07,Cheez,1,0
Cheez-100_432-right-9,-14.9325,4.1425,-15.075,5.7175,-15.8025,7.61,0.985,0.1125,Cheez,1,0
Cheez-100_432-top-0,-15.1675,6.0975,-14.665,7.235,-15.8375,6.615,0.9275,0.02,Cheez,0,1
Cheez-100_432-top-1,-17.355,4.92,-17.55,8.18,-17.4275,10.0875,0.995,0.115,Cheez,0,1
Cheez-100_432-top-2,-15.1425,5.6925,-14.69,9.315,-15.9925,6.1675,0.9175,0.0425,Cheez,0,1
Cheez-100_432-top-3,-14.9625,2.2875,-14.7975,4.3375,-15.335,7.76,0.9675,0.0475,Cheez,0,1
Cheez-100_432-top-4,-17.31,3.5075,-17.4025,6.6875,-17.5575,9.965,0.93,0.08,Cheez,0,1
Cheez-100_432-top-5,-15.3875,4.7775,-14.7875,8.81,-15.6775,5.93,0.9425,0.0375,Cheez,0,1
Cheez-100_432-top-6,-16.095,5.3275,-14.8425,7.55,-16.0225,6.5675,0.96,0.045,Cheez,0,1
Cheez-100_432-top-7,-14.675,2.8775,-14.5325,2.815,-15.225,7.415,1.0325,0.0425,Cheez,0,1
Cheez-100_432-top-8,-17.515,2.0225,-17.655,2.72,-17.72,5.545,0.9675,0.04,Cheez,0,1
Cheez-100_432-top-9,-17.6475,2.695,-17.7925,5.59,-17.96,6.765,1.0325,0.0575,Cheez,0,1
Cheez-100_50-right-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cheez,1,0
Cheez-100_50-right-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cheez,1,0
Cheez-100_50-right-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cheez,1,0
Cheez-100_50-right-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cheez,1,0
Cheez-100_50-right-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cheez,1,0
Cheez-100_50-right-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cheez,1,0
Cheez-100_50-right-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cheez,1,0
Cheez-100_50-right-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cheez,1,0
Cheez-100_50-right-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cheez,1,0
Cheez-100_50-right-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cheez,1,0
Cheez-100_50-top-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cheez,0,1
Cheez-100_50-top-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cheez,0,1
Cheez-100_50-top-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cheez,0,1
Cheez-100_50-top-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cheez,0,1
Cheez-100_50-top-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cheez,0,1
Cheez-100_50-top-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cheez,0,1
Cheez-100_50-top-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cheez,0,1
Cheez-100_50-top-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cheez,0,1
Cheez-100_50-top-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cheez,0,1
Cheez-100_50-top-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cheez,0,1
Cheez-100_814-right-0,-18.0,4.72,-17.73,5.87,-18.155,6.62,1.1225,0.75,Cheez,1,0
Cheez-100_814-right-1,-17.3725,5.4,-17.5675,7.9425,-17.8425,10.0475,1.0975,0.725,Cheez,1,0
Cheez-100_814-right-2,-17.735,5.0975,-18.1,7.5975,-17.875,9.5275,1.0725,0.7525,Cheez,1,0
Cheez-100_814-right-3,-17.4875,6.6825,-17.5775,8.365,-17.945,9.7275,1.0875,0.68,Cheez,1,0
Cheez-100_814-right-4,-17.325,8.35,-17.5375,8.8725,-17.8725,10.15,1.1075,0.69,Cheez,1,0
Cheez-100_814-right-5,-17.735,5.6875,-17.935,8.04,-17.8625,8.9025,1.065,0.7075,Cheez,1,0
Cheez-100_814-right-6,-17.54,7.02,-17.6175,9.1025,-17.6675,10.27,1.12,0.8125,Cheez,1,0
Cheez-100_814-right-7,-17.5375,6.4925,-17.9475,9.94,-17.935,9.4225,1.0975,0.7675,Cheez,1,0
Cheez-100_814-right-8,-17.365,6.815,-17.7525,8.6125,-18.2225,9.69,1.095,0.73,Cheez,1,0
Cheez-100_814-right-9,-17.62,7.4625,-17.675,8.8,-17.9,9.3025,1.045,0.7775,Cheez,1,0
Cheez-100_814-top-0,-17.2325,5.0425,-17.455,6.02,-17.5025,11.63,1.1725,0.775,Cheez,0,1
Cheez-100_814-top-1,-17.44,7.045,-17.7625,8.9075,-17.5725,10.3875,1.155,0.765,Cheez,0,1
