,media-pos0,media-pos1,media-pos2,media-pos3,media-pos4,media-pos5,media-pos6,media-pos7,std-pos0,std-pos1,std-pos2,std-pos3,std-pos4,std-pos5,std-pos6,std-pos7,75-pos0,75-pos1,75-pos2,75-pos3,75-pos4,75-pos5,75-pos6,75-pos7,max-pos0,max-pos1,max-pos2,max-pos3,max-pos4,max-pos5,max-pos6,max-pos7,Target,Position_right,Position_top
Cheez-100_432-right-0,-14.7775,2.9575,-14.625,4.035,-15.4725,6.7975,1.0275,0.0775,12.278227923946597,3.94837535193902,13.083858122067664,5.632324804800146,10.707514694237826,8.53748883096467,0.6226660682753236,0.558815207461487,0.0,7.0,2.0,10.0,-2.0,18.0,1.0,0.0,2.0,10.0,3.0,15.0,-1.0,19.0,5.0,5.0,Cheez,1,0
Cheez-100_432-right-1,-14.08,2.765,-14.94,5.6325,-15.885,7.6525,0.985,0.105,12.48271386211383,3.7736422644243417,11.988775034049253,7.658922344474909,10.187061182639818,9.587049731611447,0.5617507541378439,0.6671489483602903,2.0,7.0,0.0,15.0,-3.0,20.0,1.0,0.0,3.0,11.0,3.0,18.0,-2.0,21.0,5.0,5.0,Cheez,1,0
Cheez-100_432-right-2,-14.83,2.695,-15.1025,4.78,-15.7525,8.2925,1.03,0.0325,11.829452221029715,3.584563815077222,12.06320006214554,6.419081829110936,10.363384732208404,10.36849593817978,0.6894115030599502,0.3630057616035776,0.0,7.0,0.0,12.0,-3.0,21.0,1.0,0.0,1.0,11.0,3.0,15.0,-1.0,22.0,5.0,5.0,Cheez,1,0
Cheez-100_432-right-3,-14.8475,4.325,-14.5975,4.9025,-15.73,7.1725,1.0,0.0975,11.73514071363959,5.656355797000033,12.375920258939953,6.526828669514992,10.3776847539386,8.990819252274358,0.5574737144977239,0.6849574196011486,0.0,11.25,1.0,12.0,-3.0,19.0,1.0,0.0,3.0,14.0,2.0,16.0,-1.0,21.0,5.0,5.0,Cheez,1,0
Cheez-100_432-right-4,-14.91,4.6825,-14.8775,5.0075,-15.7925,7.43,1.02,0.0925,11.751900608829201,6.066605558919968,12.463781865709533,6.872811112016203,10.336903437766216,9.3183786385362,0.5748269871560543,0.6441903468754537,0.0,12.0,1.0,13.0,-3.0,19.0,1.0,0.0,3.0,15.0,7.0,17.0,-2.0,21.0,5.0,5.0,Cheez,1,0
Cheez-100_432-right-5,-14.995,5.03,-15.05,5.985,-15.6025,6.665,0.97,0.1125,11.84337954714547,6.5819758443067515,11.97501576225542,8.172008891533839,10.526229025331647,8.340364452348252,0.4844447510211877,0.8612189007374756,0.0,13.0,0.0,15.0,-2.0,17.0,1.0,0.0,3.0,17.0,1.0,20.0,-1.0,18.0,5.0,12.0,Cheez,1,0
Cheez-100_432-right-6,-14.635,4.1725,-14.785,5.4525,-16.1475,7.555,0.965,0.075,12.094522258926903,5.428297133948708,12.714476780406635,7.788413974011414,9.958849857096519,9.465249726285757,0.4943540885967099,0.6085234193354411,0.0,10.25,1.0,14.0,-4.0,20.0,1.0,0.0,4.0,15.0,3.0,19.0,-2.0,21.0,5.0,5.0,Cheez,1,0
Cheez-100_432-right-7,-14.975,3.42,-15.15,4.9475,-15.505,7.595,0.97,0.065,11.795856500332679,4.465809965349677,12.118773108451837,6.7623269971245845,10.655459729882068,9.506677510741223,0.4237320759400358,0.5399108809780551,0.0,9.0,0.0,13.0,-2.0,20.0,1.0,0.0,3.0,14.0,2.0,16.0,-1.0,21.0,5.0,5.0,Cheez,1,0
Cheez-100_432-right-8,-14.58,3.1375,-14.72,5.2075,-15.845,7.5825,0.9575,0.07,12.371184888233119,4.092121380590235,12.482031195157775,7.2478114404757825,10.274721395219146,9.477222066367236,0.31772018394842605,0.5057067810213056,0.0,8.0,1.0,13.0,-3.0,20.0,1.0,0.0,2.0,11.0,4.0,18.0,-1.0,21.0,5.0,5.0,Cheez,1,0
Cheez-100_432-right-9,-14.9325,4.1425,-15.075,5.7175,-15.8025,7.61,0.985,0.1125,11.763668794588341,5.381411778690557,12.123399566235795,7.634356702148464,10.282646829223268,9.541251947297326,0.4902814904211909,0.7007648882267357,0.0,11.0,0.0,15.0,-3.0,20.0,1.0,0.0,1.0,13.0,3.0,18.0,-1.0,21.0,5.0,5.0,Cheez,1,0
Cheez-100_432-top-0,-15.1675,6.0975,-14.665,7.235,-15.8375,6.615,0.9275,0.02,10.906273918114358,7.805145385334915,11.5982357572911,9.14241403218208,10.092360134413882,8.223797914000947,0.34283756209750865,0.28248805062668897,-2.0,16.0,0.0,19.0,-3.0,17.0,1.0,0.0,2.0,22.0,0.0,21.0,-1.0,19.0,5.0,4.0,Cheez,0,1
Cheez-100_432-top-1,-17.355,4.92,-17.55,8.18,-17.4275,10.0875,0.995,0.115,11.158865340581068,11.663992532769933,11.21972394998134,17.040938470633016,10.895941795872872,21.55321778161803,0.5055828666872683,0.8447241545280385,-0.75,5.25,0.0,13.0,-1.75,14.0,1.0,0.0,9.0,59.0,6.0,76.0,5.0,86.0,5.0,12.0,Cheez,0,1
Cheez-100_432-top-2,-15.1425,5.6925,-14.69,9.315,-15.9925,6.1675,0.9175,0.0425,11.010917059274151,7.294928629484524,11.61642170088667,11.808020510268676,9.87629976218227,7.66919063281165,0.41968331538557846,0.41366841054727954,-1.0,15.0,0.0,24.0,-4.0,16.0,1.0,0.0,2.0,18.0,0.0,26.0,-1.0,18.0,5.0,5.0,Cheez,0,1
Cheez-100_432-top-3,-14.9625,2.2875,-14.7975,4.3375,-15.335,7.76,0.9675,0.0475,11.17130650248355,3.0103986446980864,11.703371994433887,5.79028602753798,10.742965291675503,9.635845775515728,0.48168849843421585,0.4536057157525791,-1.0,6.0,0.0,11.0,-2.0,20.0,1.0,0.0,2.0,9.0,1.0,14.0,0.0,22.0,5.0,5.0,Cheez,0,1
Cheez-100_432-top-4,-17.31,3.5075,-17.4025,6.6875,-17.5575,9.965,0.93,0.08,11.00165856714657,8.457764373372498,11.099255715749951,13.979392056010129,10.71184170120061,20.47307113268578,0.34698847604245475,0.5695709153116253,0.0,4.0,0.0,11.0,-2.0,16.0,1.0,0.0,6.0,46.0,7.0,65.0,5.0,87.0,5.0,5.0,Cheez,0,1
Cheez-100_432-top-5,-15.3875,4.7775,-14.7875,8.81,-15.6775,5.93,0.9425,0.0375,10.701572449047152,6.145111858166057,11.644583916416506,11.3371171628377,10.318899795155309,7.389289817704065,0.5048077129637267,0.3827007966406312,-2.0,12.0,0.0,23.0,-3.0,15.0,1.0,0.0,1.0,15.0,0.0,25.0,-1.0,18.0,5.0,5.0,Cheez,0,1
Cheez-100_432-top-6,-16.095,5.3275,-14.8425,7.55,-16.0225,6.5675,0.96,0.045,10.038321310699436,6.837919024928469,11.760461934476941,9.958686589932016,10.171560615923601,8.175422777690773,0.4345942710749031,0.42829147079985364,-4.0,14.0,0.0,20.0,-3.0,17.0,1.0,0.0,1.0,17.0,1.0,23.0,-1.0,19.0,5.0,5.0,Cheez,0,1
Cheez-100_432-top-7,-14.675,2.8775,-14.5325,2.815,-15.225,7.415,1.0325,0.0425,11.502179154981201,3.750020050071714,11.850528736234596,3.7067675019190336,10.882345270964851,9.216840585360023,0.6500000000000012,0.40136827381853624,0.0,7.0,0.0,7.0,-2.0,19.0,1.0,0.0,3.0,11.0,2.0,9.0,0.0,22.0,5.0,4.0,Cheez,0,1
Cheez-100_432-top-8,-17.515,2.0225,-17.655,2.72,-17.72,5.545,0.9675,0.04,10.699344134678487,3.7752649328600776,10.777586274986943,4.8098270332960595,10.377419094730099,9.273238775826034,0.3765610781985241,0.3857096444536523,0.0,3.25,0.0,4.25,-2.0,18.0,1.0,0.0,8.0,21.0,6.0,23.0,6.0,42.0,5.0,5.0,Cheez,0,1
Cheez-100_432-top-9,-17.6475,2.695,-17.7925,5.59,-17.96,6.765,1.0325,0.0575,10.759771161070141,5.522519402535275,11.060528104701335,10.922460820526588,10.024201291316013,13.3352670903483,0.6838221859188905,0.4740840000440254,-2.0,4.0,-0.75,15.0,-3.0,15.0,1.0,0.0,5.0,32.0,7.0,52.0,5.0,74.0,5.0,5.0,Cheez,0,1
Cheez-100_50-right-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cheez,1,0
Cheez-100_50-right-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cheez,1,0
Cheez-100_50-right-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cheez,1,0
Cheez-100_50-right-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cheez,1,0
Cheez-100_50-right-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cheez,1,0
