,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,Target,Position_right,Position_top
Cheez-100_432-right-0,1128.455,1.7475,2.9825,2.9975,14.6025,10.03,10.51,14.1175,652.245,1.36,6.37,1.8,1.4925,0.675,5.15,2.58,Cheez,1,0
Cheez-100_432-right-1,1512.38,3.3025,4.2075,2.34,320.06,15.16,12.7325,18.1275,1043.415,2.905,2.3975,1.71,1.72,1.2925,6.7375,1.72,Cheez,1,0
Cheez-100_432-right-2,1413.975,1.245,3.485,2.8375,214.37,18.4,16.0475,21.59,893.8025,2.5775,1.6975,2.4625,2.3075,1.31,5.7625,2.565,Cheez,1,0
Cheez-100_432-right-3,1687.16,3.1125,5.63,3.7275,193.3075,16.565,14.015,17.525,687.8825,2.4275,3.9675,1.95,2.3525,1.4475,8.26,3.0025,Cheez,1,0
Cheez-100_432-right-4,2152.6275,3.455,3.04,2.84,16.79,11.8475,17.035,16.765,856.7725,3.085,3.1375,1.835,1.8825,1.8625,7.275,14.2275,Cheez,1,0
Cheez-100_432-right-5,1073.525,2.92,1.585,2.03,270.245,16.3375,13.205,17.6025,895.61,2.9025,1.4325,1.92,2.77,2.89,6.8925,1.5925,Cheez,1,0
Cheez-100_432-right-6,1113.2525,1.79,5.72,5.0925,356.4625,14.1675,14.3,17.7825,1635.565,1.8325,1.915,2.3175,1.44,2.78,10.24,2.1425,Cheez,1,0
Cheez-100_432-right-7,1329.57,1.725,7.0175,3.025,16.41,12.905,15.695,20.7025,903.155,1.9825,3.3975,1.62,1.0625,2.695,6.155,2.5325,Cheez,1,0
Cheez-100_432-right-8,1751.775,2.4875,3.3125,5.6725,340.37,15.9375,14.1675,23.9275,1319.8625,1.7975,3.8325,1.74,0.71,2.4275,11.58,1.125,Cheez,1,0
Cheez-100_432-right-9,2012.335,2.03,6.8925,3.2275,18.9775,17.695,13.835,17.7975,935.94,2.72,3.14,2.4,2.2475,2.0,8.58,1.205,Cheez,1,0
Cheez-100_432-top-0,2304.4575,1.2425,3.07,2.3025,132.285,8.4775,4.1675,4.7875,1954.5475,2.1075,2.75,2.495,3.705,0.6425,12.925,1.1875,Cheez,0,1
Cheez-100_432-top-1,47.2575,2.56,4.615,1.57,15.4875,6.635,7.43,8.135,408.5775,701.8,12.1775,2.225,2.3525,1.3075,7.735,1.7525,Cheez,0,1
Cheez-100_432-top-2,1454.9525,2.6425,5.445,2.9925,437.9225,5.305,3.265,3.9225,1692.7975,1.2875,3.8725,1.8375,2.23,0.9625,9.8875,1.0375,Cheez,0,1
Cheez-100_432-top-3,217.61,2.055,4.6625,3.7675,160.4925,3.6575,4.315,5.8675,1167.4275,1.8025,4.38,3.1625,1.7025,2.48,11.23,0.58,Cheez,0,1
Cheez-100_432-top-4,55.98,2.65,4.115,3.4125,21.725,10.895,7.77,7.035,333.835,0.735,10.455,3.29,1.8475,1.97,14.975,2.0475,Cheez,0,1
Cheez-100_432-top-5,1016.725,2.355,2.9025,0.955,387.605,4.745,6.005,3.3725,1443.72,1.765,3.5,2.68,2.265,1.8775,3.57,0.8025,Cheez,0,1
Cheez-100_432-top-6,1079.9425,1.875,1.585,5.8425,381.2325,9.155,8.78,10.0175,963.56,1.255,2.4025,2.895,1.0625,1.6375,7.77,1.1225,Cheez,0,1
Cheez-100_432-top-7,1206.47,0.43,5.2075,4.4975,159.82,3.575,3.21,2.62,1187.355,2.5,3.11,2.015,1.0975,2.37,10.5625,0.645,Cheez,0,1
Cheez-100_432-top-8,194.8625,2.47,2.4475,4.845,18.0575,3.4725,3.65,4.275,293.655,1.025,2.7075,3.405,1.115,3.1025,6.9375,1.3275,Cheez,0,1
Cheez-100_432-top-9,112.5975,1.5625,4.1725,2.685,60.245,13.17,13.2975,13.03,492.075,1.465,3.59,2.1325,2.0325,1.405,4.4625,2.5125,Cheez,0,1
Cheez-100_50-right-0,1180.245,3.1675,2.76,0.84,143.285,4.6425,4.285,14.945,29.8975,1.655,1.57,0.7725,3.8925,5.1225,11.33,2.21,Cheez,1,0
Cheez-100_50-right-1,1582.425,2.28,3.9,4.3525,110.1875,23.975,3.0025,7.915,39.765,1.8875,2.3275,1.66,2.4225,6.2875,11.06,1.495,Cheez,1,0
Cheez-100_50-right-2,1133.835,2.485,3.03,2.37,90.5675,23.6,11.4375,1.485,41.1925,2.13,2.7175,1.3225,2.6075,3.535,6.1525,2.6125,Cheez,1,0
Cheez-100_50-right-3,1060.455,1.625,6.4825,5.64,98.115,13.875,7.435,8.54,27.3025,1.06,1.985,1.245,3.0675,3.9125,13.79,3.0375,Cheez,1,0
Cheez-100_50-right-4,1517.0125,1.725,7.085,4.8925,95.3025,29.775,4.8375,5.2875,25.4325,1.81,1.4675,2.4175,3.02,3.935,10.1125,1.1775,Cheez,1,0
Cheez-100_50-right-5,1465.23,1.3725,6.63,2.38,91.3775,40.9575,10.88,12.8525,50.8075,3.065,1.555,1.915,3.4625,5.4875,12.3575,2.8625,Cheez,1,0
Cheez-100_50-right-6,909.3225,1.7025,5.8875,6.6975,44.11,30.7125,6.4025,11.32,41.3875,1.7825,2.44,2.665,2.155,3.355,11.27,1.925,Cheez,1,0
Cheez-100_50-right-7,1748.7,3.1675,3.025,5.4325,3.095,20.4175,9.6,3.3825,42.3725,2.015,1.295,1.705,1.8975,2.4775,5.715,2.2425,Cheez,1,0
Cheez-100_50-right-8,831.3425,3.015,5.6775,2.9225,3.1975,86.865,6.0725,6.065,34.38,1.835,1.7825,1.7075,3.1875,1.7325,15.9725,1.4775,Cheez,1,0
Cheez-100_50-right-9,1839.76,0.8475,3.985,3.42,3.9175,7.0325,5.85,7.225,523.3,2.1475,2.7175,1.8325,2.1,4.9675,13.4,1.4125,Cheez,1,0
Cheez-100_50-top-0,2366.255,3.215,3.3575,4.7675,30.4225,2.7075,3.845,4.695,132.49,2.355,2.975,0.84,0.0,0.0,0.0,0.0,Cheez,0,1
Cheez-100_50-top-1,1140.39,3.0275,1.1725,2.1525,239.81,2.6325,3.0425,6.5175,1181.43,0.8825,2.97,1.11,0.0,0.0,0.0,0.0,Cheez,0,1
